"ensembl_id_original","ensembl_id_clean","gene_symbol","gene_biotype","description","has_symbol","is_protein_coding"
"ENSG00000201096","ENSG00000201096","RNA5SP387","rRNA_pseudogene","RNA, 5S ribosomal pseudogene 387 [Source:HGNC Symbol;Acc:HGNC:43287]",TRUE,FALSE
"ENSG00000280494","ENSG00000280494","","miRNA","",FALSE,FALSE
"ENSG00000119685","ENSG00000119685","TTLL5","protein_coding","tubulin tyrosine ligase like 5 [Source:HGNC Symbol;Acc:HGNC:19963]",TRUE,TRUE
"ENSG00000133935","ENSG00000133935","ERG28","protein_coding","ergosterol biosynthesis 28 homolog [Source:HGNC Symbol;Acc:HGNC:1187]",TRUE,TRUE
"ENSG00000283629","ENSG00000283629","","lncRNA","novel transcript, antisense to GPATCH2L",FALSE,FALSE
"ENSG00000089916","ENSG00000089916","GPATCH2L","protein_coding","G-patch domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:20210]",TRUE,TRUE
"ENSG00000258454","ENSG00000258454","","lncRNA","novel transcript, sense overlapping GPATCH2L",FALSE,FALSE
"ENSG00000280078","ENSG00000280078","","TEC","TEC",FALSE,FALSE
"ENSG00000258402","ENSG00000258402","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000119650","ENSG00000119650","IFT43","protein_coding","intraflagellar transport 43 [Source:HGNC Symbol;Acc:HGNC:29669]",TRUE,TRUE
"ENSG00000054690","ENSG00000054690","PLEKHH1","protein_coding","pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]",TRUE,TRUE
"ENSG00000100564","ENSG00000100564","PIGH","protein_coding","phosphatidylinositol glycan anchor biosynthesis class H [Source:HGNC Symbol;Acc:HGNC:8964]",TRUE,TRUE
"ENSG00000259502","ENSG00000259502","","processed_pseudogene","protein kinase C, eta (PRKCH) pseudogene",FALSE,FALSE
"ENSG00000201529","ENSG00000201529","","misc_RNA","Y RNA [Source:RFAM;Acc:RF00019]",FALSE,FALSE
"ENSG00000081181","ENSG00000081181","ARG2","protein_coding","arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]",TRUE,TRUE
"ENSG00000286861","ENSG00000286861","","lncRNA","novel transcript, antisense to ARG2",FALSE,FALSE
"ENSG00000100568","ENSG00000100568","VTI1B","protein_coding","vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]",TRUE,TRUE
"ENSG00000258626","ENSG00000258626","COX7A2P1","processed_pseudogene","cytochrome c oxidase subunit 7A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20006]",TRUE,FALSE
"ENSG00000272253","ENSG00000272253","RNA5SP386","rRNA_pseudogene","RNA, 5S ribosomal pseudogene 386 [Source:HGNC Symbol;Acc:HGNC:43286]",TRUE,FALSE
"ENSG00000258466","ENSG00000258466","","protein_coding","novel protein",FALSE,TRUE
"ENSG00000072042","ENSG00000072042","RDH11","protein_coding","retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]",TRUE,TRUE
"ENSG00000139988","ENSG00000139988","RDH12","protein_coding","retinol dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:19977]",TRUE,TRUE
"ENSG00000241542","ENSG00000241542","RN7SL369P","misc_RNA","RNA, 7SL, cytoplasmic 369, pseudogene [Source:HGNC Symbol;Acc:HGNC:46385]",TRUE,FALSE
"ENSG00000258618","ENSG00000258618","RPL21P9","processed_pseudogene","ribosomal protein L21 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:19780]",TRUE,FALSE
